"Table S2. Selected publications from Web of Science searches associated with research topics. Please see the Table S1 and the full-text article (Leigh et al., ""Ecological research and management of intermittent rivers: an historical review and future directions"", published in Freshwater Biology) for details of search topics and selection criteria. Formatting of the entries matches that of the output from Web of Science searches; the authors of the present study are not responsible for any associated errors in publications details or style.",,,,,,,,,,,,,,,,,,,,
Associated search(es),Publication year,Author(s),Title,Abstract,Source,Volume,Issue,Special issue,Start page,End page,Article number,Digital Object Identifier (DOI),Book Digital Object Identifier (DOI),Conference title,Conference date,Conference sponsors,Conference location,International Standard Serial Number (ISSN),International Standard Book Number (ISBN),Accession number
Fish,1964,"JOHN, KR",SURVIVAL OF FISH IN INTERMITTENT STREAMS OF CHIRICAHUA MOUNTAINS ARIZONA,,ECOLOGY,45,1,,112,&,,10.2307/1937112,,,,,,0012-9658,,WOS:A1964AV54500014
Invertebrate,1967,"HARRELL, C",EFFECTS OF OIL FIELD BRINES ON COMMUNITY STRUCTURE OF BENTHIC MACROINVERTEBRATES IN AN INTERMITTENT STREAM,,TEXAS JOURNAL OF SCIENCE,19,4,,446,&,,,,,,,,0040-4403,,WOS:A1967A968700133
Invertebrate,1968,"HARREL, RC; DORRIS, TC",STREAM ORDER MORPHOMETRY PHYSICO-CHEMICAL CONDITIONS AND COMMUNITY STRUCTURE OF BENTHIC MACROINVERTEBRATES IN AN INTERMITTENT STREAM SYSTEM,,AMERICAN MIDLAND NATURALIST,80,1,,220,&,,10.2307/2423611,,,,,,0003-0031,,WOS:A1968B585600014
Invertebrate,1968,"MATHIS, BJ; DORRIS, TC",COMMUNITY STRUCTURE OF BENTHIC MACROINVERTEBRATES IN AN INTERMITTENT STREAM RECEIVING OIL FIELD BRINES,,AMERICAN MIDLAND NATURALIST,80,2,,428,&,,10.2307/2423536,,,,,,0003-0031,,WOS:A1968C065500009
Assessment,1971,KNEDLHAN.S,MECHANICAL SAMPLER FOR DETERMINING WATER QUALITY OF EPHEMERAL STREAMS,,WATER RESOURCES RESEARCH,7,3,,728,&,,10.1029/WR007i003p00728,,,,,,0043-1397,,WOS:A1971J628300031
Invertebrate,1972,"CLIFFORD, HF",DRIFT OF INVERTEBRATES IN AN INTERMITTENT STREAM DRAINING MARSHY TERRAIN OF WEST-CENTRAL ALBERTA,,CANADIAN JOURNAL OF ZOOLOGY,50,7,,985,&,,10.1139/z72-131,,,,,,,,WOS:A1972N150500009
Invertebrate,1973,"KOSLUCHE.DG; MINSHALL, GW","FOOD HABITS OF SOME BENTHIC INVERTEBRATES IN A NORTHERN COOL-DESERT STREAM (DEEP-CREEK, CURLEW-VALLEY, IDAHO-UTAH)",,TRANSACTIONS OF THE AMERICAN MICROSCOPICAL SOCIETY,92,3,,441,452,,10.2307/3225248,,,,,,0003-0023,,WOS:A1973Q295100011
Fish,1978,"VRIJENHOEK, RC",COEXISTENCE OF CLONES IN A HETEROGENEOUS ENVIRONMENT,,SCIENCE,199,4328,,549,552,,10.1126/science.199.4328.549,,,,,,0036-8075,,WOS:A1978EH73900022
Fish,1979,"WILLIAMS, DD; COAD, BW","ECOLOGY OF TEMPORARY STREAMS .3. TEMPORARY STREAM FISHES IN SOUTHERN ONTARIO, CANADA",,INTERNATIONALE REVUE DER GESAMTEN HYDROBIOLOGIE,64,4,,501,515,,,,,,,,0020-9309,,WOS:A1979JC44500005
Invertebrate,1980,"BRUNS, DA; MINCKLEY, WL",DISTRIBUTION AND ABUNDANCE OF BENTHIC INVERTEBRATES IN A SONORAN DESERT STREAM,,JOURNAL OF ARID ENVIRONMENTS,3,2,,117,&,,,,,,,,0140-1963,,WOS:A1980JX10900004
